identifier,matching_objects,image_thumb,image_small,object-type,title,"creator (Lastname, Firstname; Lastname, Firstname)","recipient (Lastname, Firstname; Lastname, Firstname)",date (yyyy-mm-dd or yyyy-mm or yyyy),"date is approximate? (yes, or blank)",description (1-3 sentences),"subject (subject1; subject2)
in most cases, aim for 3 or more subjects, but less is okay
controlled vocab lookup: https://www.getty.edu/research/tools/vocabularies/aat/","associated names (Lastname, Firstname; Lastname, Firstname)","location 1 (City, State)","latitude / longitude 1 (lat, long)
go to https://www.google.com/maps/, right click on the location, click on the lat/long that appear at the top of the drop down (this will copy the lat/long to your clipboard). right click in the cell you wish to add the data, select ""paste special"" > ""values only.""","location 2 (City, State)","latitude / longitude 2 (lat, long)
go to https://www.google.com/maps/, right click on the location, click on the lat/long that appear at the top of the drop down (this will copy the lat/long to your clipboard). right click in the cell you wish to add the data, select ""paste special"" > ""values only.""","doc length x width l""xw""",cabinet,drawer,box,bag,"type (biface, projectile point, etc.)",material,material source,length (mm),width (mm),thickness (mm),weight (g),count,source,"original format (i.e. letter, newspaper clipping, artifact, etc.)",type,"language
code lookup: http://www.loc.gov/standards/iso639-2/php/code_list.php",rights (before 1926 = no copyright; after 1926 or not sure = in copyright),student initials,"publish? (no, or blank)","GGOI? (yes, or blank"
CE_B19_F1-Item66,CE_B19_F1-Item66.pdf,thumbs/ce_b19_f1-item66_th.jpg,small/ce_b19_f1-item66_sm.jpg,pdf,Request for Medicare Payment Form,N/A,N/A,1905-05-31,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Form,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item67,CE_B19_F1-Item67.pdf,thumbs/ce_b19_f1-item67_th.jpg,small/ce_b19_f1-item67_sm.jpg,pdf,Payment record,N/A,N/A,1978-09-25,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Payment record,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item68,CE_B19_F1-Item68.pdf,thumbs/ce_b19_f1-item68_th.jpg,small/ce_b19_f1-item68_sm.jpg,pdf,Payment record,N/A,N/A,1978-08-09,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Payment record,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item69,CE_B19_F1-Item69.pdf,thumbs/ce_b19_f1-item69_th.jpg,small/ce_b19_f1-item69_sm.jpg,pdf,Request for Medicare Payment Form,N/A,N/A,1978-10-28,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Form,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item7,CE_B19_F1-Item7.pdf,thumbs/ce_b19_f1-item7_th.jpg,small/ce_b19_f1-item7_sm.jpg,pdf,Penny Wise Drug Store Charge Ticket,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Charge ticket,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item70,CE_B19_F1-Item70.pdf,thumbs/ce_b19_f1-item70_th.jpg,small/ce_b19_f1-item70_sm.jpg,pdf,Receipt,N/A,N/A,1978-11-01,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item71,CE_B19_F1-Item71.pdf,thumbs/ce_b19_f1-item71_th.jpg,small/ce_b19_f1-item71_sm.jpg,pdf,Payment record,N/A,N/A,1978-10-17,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Payment record,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item72,CE_B19_F1-Item72.pdf,thumbs/ce_b19_f1-item72_th.jpg,small/ce_b19_f1-item72_sm.jpg,pdf,Payment record,N/A,N/A,1978-09-20,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Payment record,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item73,CE_B19_F1-Item73.pdf,thumbs/ce_b19_f1-item73_th.jpg,small/ce_b19_f1-item73_sm.jpg,pdf,Receipt,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item74,CE_B19_F1-Item74.pdf,thumbs/ce_b19_f1-item74_th.jpg,small/ce_b19_f1-item74_sm.jpg,pdf,Medication Record,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medication record,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item75,CE_B19_F1-Item75.pdf,thumbs/ce_b19_f1-item75_th.jpg,small/ce_b19_f1-item75_sm.jpg,pdf,Medication Record,N/A,N/A,1978-12-20,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medication record,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item76,CE_B19_F1-Item76.pdf,thumbs/ce_b19_f1-item76_th.jpg,small/ce_b19_f1-item76_sm.jpg,pdf,Explanation of Benefits,N/A,N/A,1979-02-22,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item77,CE_B19_F1-Item77.pdf,thumbs/ce_b19_f1-item77_th.jpg,small/ce_b19_f1-item77_sm.jpg,pdf,Explanation of Benefits,N/A,N/A,1979-02-22,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item78,CE_B19_F1-Item78.pdf,thumbs/ce_b19_f1-item78_th.jpg,small/ce_b19_f1-item78_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1979-02-13,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical bill,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item79,CE_B19_F1-Item79.pdf,thumbs/ce_b19_f1-item79_th.jpg,small/ce_b19_f1-item79_sm.jpg,pdf,Magic Valley Memorial Hospital Account Statement,N/A,N/A,1979-02-03,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item8,CE_B19_F1-Item8.pdf,thumbs/ce_b19_f1-item8_th.jpg,small/ce_b19_f1-item8_sm.jpg,pdf,Penny Wise Drug Store Charge Ticket,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Charge ticket,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item80,CE_B19_F1-Item80.pdf,thumbs/ce_b19_f1-item80_th.jpg,small/ce_b19_f1-item80_sm.jpg,pdf,Letter from Donald Crabtree to Aetna Life and Casualty,"Crabtree, Donald ""Don"" E.",Aetna Life and Casualty,1979-02-11,,Handwritten letter from Donald Crabtree to Aetna Life and Casualty regarding health insurance coverage.,Handwritten correspondence; medical,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Handwritten correspondence,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item81,CE_B19_F1-Item81.pdf,thumbs/ce_b19_f1-item81_th.jpg,small/ce_b19_f1-item81_sm.jpg,pdf,Record of Part B Medicare Benefits Used,N/A,N/A,1979-01-17,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical records,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item82,CE_B19_F1-Item82.pdf,thumbs/ce_b19_f1-item82_th.jpg,small/ce_b19_f1-item82_sm.jpg,pdf,Record of Part B Medicare Benefits Used,N/A,N/A,1979-01-24,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical records,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item83,CE_B19_F1-Item83.pdf,thumbs/ce_b19_f1-item83_th.jpg,small/ce_b19_f1-item83_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1979-02-28,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical bill,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item84,CE_B19_F1-Item84.pdf,thumbs/ce_b19_f1-item84_th.jpg,small/ce_b19_f1-item84_sm.jpg,pdf,Record of Part B Medicare Benefits Used,N/A,N/A,1979-01-31,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical records,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item85,CE_B19_F1-Item85.pdf,thumbs/ce_b19_f1-item85_th.jpg,small/ce_b19_f1-item85_sm.jpg,pdf,Magic Valley Memorial Hospital Account Statement,N/A,N/A,1978-12-30,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item86,CE_B19_F1-Item86.pdf,thumbs/ce_b19_f1-item86_th.jpg,small/ce_b19_f1-item86_sm.jpg,pdf,Record of Part B Medicare Benefits Used,N/A,N/A,1979-01-31,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical records,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item87,CE_B19_F1-Item87.pdf,thumbs/ce_b19_f1-item87_th.jpg,small/ce_b19_f1-item87_sm.jpg,pdf,Magic Valley Memorial Hospital Account Statement,N/A,N/A,1979-01-07,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item88,CE_B19_F1-Item88.pdf,thumbs/ce_b19_f1-item88_th.jpg,small/ce_b19_f1-item88_sm.jpg,pdf,Magic Valley Radiology Associates Account Statement,N/A,N/A,1978-12-21,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item89,CE_B19_F1-Item89.pdf,thumbs/ce_b19_f1-item89_th.jpg,small/ce_b19_f1-item89_sm.jpg,pdf,Explanation of Medicare Benefits,N/A,N/A,1979-01-08,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item9,CE_B19_F1-Item9.pdf,thumbs/ce_b19_f1-item9_th.jpg,small/ce_b19_f1-item9_sm.jpg,pdf,Penny Wise Drug Store Charge Ticket,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Charge ticket,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item90,CE_B19_F1-Item90.pdf,thumbs/ce_b19_f1-item90_th.jpg,small/ce_b19_f1-item90_sm.jpg,pdf,Request for Medicare Payment Form,N/A,N/A,1978-12-11,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Form,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item91,CE_B19_F1-Item91.pdf,thumbs/ce_b19_f1-item91_th.jpg,small/ce_b19_f1-item91_sm.jpg,pdf,Medical Center Laboratory,N/A,N/A,1978-12-11,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical records,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item92,CE_B19_F1-Item92.pdf,thumbs/ce_b19_f1-item92_th.jpg,small/ce_b19_f1-item92_sm.jpg,pdf,Explanation of Medicare Benefits,N/A,N/A,1979-01-08,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item93,CE_B19_F1-Item93.pdf,thumbs/ce_b19_f1-item93_th.jpg,small/ce_b19_f1-item93_sm.jpg,pdf,Penny Wise Drug Store Statement of Account,N/A,N/A,1979-01-25,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item94,CE_B19_F1-Item94.pdf,thumbs/ce_b19_f1-item94_th.jpg,small/ce_b19_f1-item94_sm.jpg,pdf,Receipt,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item95,CE_B19_F1-Item95.pdf,thumbs/ce_b19_f1-item95_th.jpg,small/ce_b19_f1-item95_sm.jpg,pdf,Medication Record,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medication record,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item96,CE_B19_F1-Item96.pdf,thumbs/ce_b19_f1-item96_th.jpg,small/ce_b19_f1-item96_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1979-02-28,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical bill,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item97,CE_B19_F1-Item97.pdf,thumbs/ce_b19_f1-item97_th.jpg,small/ce_b19_f1-item97_sm.jpg,pdf,Penny Wise Drug Store Charge Ticket,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Charge ticket,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item98,CE_B19_F1-Item98.pdf,thumbs/ce_b19_f1-item98_th.jpg,small/ce_b19_f1-item98_sm.jpg,pdf,Penny Wise Drug Store Receipt,N/A,N/A,1979-02-03,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F1-Item99,CE_B19_F1-Item99.pdf,thumbs/ce_b19_f1-item99_th.jpg,small/ce_b19_f1-item99_sm.jpg,pdf,Receipt,N/A,N/A,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item1,CE_B19_F2-Item1.pdf,thumbs/ce_b19_f2-item1_th.jpg,small/ce_b19_f2-item1_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1978-07-27,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical bill,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item10,CE_B19_F2-Item10.pdf,thumbs/ce_b19_f2-item10_th.jpg,small/ce_b19_f2-item10_sm.jpg,pdf,Explanation of Medicare Benefits,N/A,N/A,1978-10-09,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Explanation of benefits,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item100,CE_B19_F2-Item100.pdf,thumbs/ce_b19_f2-item100_th.jpg,small/ce_b19_f2-item100_sm.jpg,pdf,Receipt,N/A,N/A,1978-04-11,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item101,CE_B19_F2-Item101.pdf,thumbs/ce_b19_f2-item101_th.jpg,small/ce_b19_f2-item101_sm.jpg,pdf,Explanation of Payment,N/A,N/A,1978-04-10,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical Records,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item102,CE_B19_F2-Item102.pdf,thumbs/ce_b19_f2-item102_th.jpg,small/ce_b19_f2-item102_sm.jpg,pdf,Receipt,N/A,N/A,1978-03-22,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item103,CE_B19_F2-Item103.pdf,thumbs/ce_b19_f2-item103_th.jpg,small/ce_b19_f2-item103_sm.jpg,pdf,Receipt,N/A,N/A,1978-03-22,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item104,CE_B19_F2-Item104.pdf,thumbs/ce_b19_f2-item104_th.jpg,small/ce_b19_f2-item104_sm.jpg,pdf,Explanation of Payment,N/A,N/A,1978-03-22,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item105,CE_B19_F2-Item105.pdf,thumbs/ce_b19_f2-item105_th.jpg,small/ce_b19_f2-item105_sm.jpg,pdf,Letter from Aetna Life and Casualty to Donald Crabtree,Aetna Life and Casualty,"Crabtree, Donald ""Don"" E.",1978-03-31,,Typewritten letter from Aetna Life and Casualty to Donald Crabtree regarding coverage on a recent claim.,Typewritten; medical,,"Salt Lake City, Utah","40.76196247026785, -111.87380163131897","Kimberly, Idaho","42.5335805982885, -114.36483156147125",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item106,CE_B19_F2-Item106.pdf,thumbs/ce_b19_f2-item106_th.jpg,small/ce_b19_f2-item106_sm.jpg,pdf,Receipt,N/A,N/A,1905-05-31,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item107,CE_B19_F2-Item107.pdf,thumbs/ce_b19_f2-item107_th.jpg,small/ce_b19_f2-item107_sm.jpg,pdf,Letter from Donald Crabtree to Aetna Life and Casualty,"Crabtree, Donald ""Don"" E.",Aetna Life and Casualty,1978-03-28,,"Typewritten letter from Donald Crabtree to Aetna Life and Casualty recording EOBs, itemized bills, and claim forms.",Typewritten; medical,,"Kimberly, Idaho","42.5335805982885, -114.36483156147125","Salt Lake City, Utah","40.76196247026785, -111.87380163131897",,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Typewritten correspondence,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item108,CE_B19_F2-Item108.pdf,thumbs/ce_b19_f2-item108_th.jpg,small/ce_b19_f2-item108_sm.jpg,pdf,Health Insurance Claim Form,N/A,N/A,1978-01-27,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Form,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item109,CE_B19_F2-Item109.pdf,thumbs/ce_b19_f2-item109_th.jpg,small/ce_b19_f2-item109_sm.jpg,pdf,Receipt,N/A,N/A,1978,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item11,CE_B19_F2-Item11.pdf,thumbs/ce_b19_f2-item11_th.jpg,small/ce_b19_f2-item11_sm.jpg,pdf,Magic Valley Radiology Associates Account Statement,N/A,N/A,1978-09-25,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Account statement,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item110,CE_B19_F2-Item110.pdf,thumbs/ce_b19_f2-item110_th.jpg,small/ce_b19_f2-item110_sm.jpg,pdf,Medical records,N/A,N/A,1905-05-31,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical Records,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item111,CE_B19_F2-Item111.pdf,thumbs/ce_b19_f2-item111_th.jpg,small/ce_b19_f2-item111_sm.jpg,pdf,Medical records,N/A,N/A,1905-05-31,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical Records,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item112,CE_B19_F2-Item112.pdf,thumbs/ce_b19_f2-item112_th.jpg,small/ce_b19_f2-item112_sm.jpg,pdf,Medical notes,N/A,N/A,1905-05-30,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical notes,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item113,CE_B19_F2-Item113.pdf,thumbs/ce_b19_f2-item113_th.jpg,small/ce_b19_f2-item113_sm.jpg,pdf,Magic Valley Memorial Hospital Receipt,N/A,N/A,1978-03-17,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Receipt,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item114,CE_B19_F2-Item114.pdf,thumbs/ce_b19_f2-item114_th.jpg,small/ce_b19_f2-item114_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1978-03-13,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical Bill,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item115,CE_B19_F2-Item115.pdf,thumbs/ce_b19_f2-item115_th.jpg,small/ce_b19_f2-item115_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1978-03-13,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical Bill,Text,eng,No Copyright,JH,no,
CE_B19_F2-Item116,CE_B19_F2-Item116.pdf,thumbs/ce_b19_f2-item116_th.jpg,small/ce_b19_f2-item116_sm.jpg,pdf,Magic Valley Memorial Hospital Bill,N/A,N/A,1978-02-28,,N/A,N/A,,N/A,N/A,N/A,N/A,,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Donald E. Crabtree Lithic Comparative Collection,Medical Bill,Text,eng,No Copyright,JH,no,
