timestamp,speaker,words,tags
00:47:55,Lorisia MacLeod,"Um so then it does become, um, a bit like we were talking about with mitigating harm, looking at ways to mitigate the transactional nature of it. Um so it might be that you initially, um, create a relationship with a community or group because, um, you engage with them for a particular project, but if, from the get-go, you're very open and honest about the fact that you would like this to be a continuing ongoing engagement that goes beyond this particular project and you follow through on that, um, you can still develop, you know, a, like a project-based relationship into that important organic, uh, kind of ongoing relationship, where then you have these folks who might do a fantastic job in terms of letting you know some loving criticism of something that the institution is doing that is creating harm. And then you can start a discussion around, oh, can we change this to mitigate that? Can we improve this?",
00:49:02,Lorisia MacLeod,"Um yeah, I -- I will acknowledge, for institutions, that can be very difficult because those kind of relationships don't fit nicely on a budget line or in a grant timeline, um, but that really is the -- the goal. That being said, I would rather institutions were willing to at least have transactional relationships with communities, rather than no relationships at all. I would just put in the plug of ensure that if you are engaging Indigenous people for emotional labor, um, and expertise, um, that you pay them for their time and expertise, um, which is something that hasn't historically been done. Um so that's a way to try and make the relationship slightly more reciprocal within kind of colonial constraints of projects. Um but you do what you can with the systems you have in place, admittedly, but like I said, I would much rather people have Indigenous voices at the table, even if that relationship starts out as very transactional, there is the opportunity to grow it into something bigger and better, um, and that's definitely better than having no Indigenous voices at the table at all.",
00:50:19,Lorisia MacLeod,"Um also, uh, you know I jotted down a quick note for myself, like, be open to considering alternate ways of both collecting and providing information. For example, uh, recording discussions like this can be a great way that isn't kind of stuck within the traditional academia of write a paper, um, which may not connect as well for some communities or knowledge keepers. Um so be open to the idea that the way that your institution likes to do things maybe isn't the best way of doing them in that instance. Um and one thing I would make super clear would be, um, have clear intellectual property rights, I wrote this down for myself in big, bold letters, um and in particular avoid jargon when you're talking about those. Um when I've had discussions with, um, Indigenous elders and knowledge keepers to help guide my own work, something that I realized about myself was coming out of library school, I often jumped right to using all the usual jargon.",
00:51:33,Lorisia MacLeod,"And even when talking about things like citation, I would talk about it in a way that didn't make any sense. Once I had someone critique me on that, and I was able to kind of revisit, okay, how can I discuss this in a way that makes more sense? And I began talking about citation in connection to respect and relationship, connecting it with things that made much more sense outside of the academic sphere, I was able to get really great conversations and feedback. Um so, you know, tackling those important things like intellectual property rights, make sure to try and avoid jargon and use plain language so that everyone can really connect with what's being said. Um and then, yeah, of course, the best practice being trying to find ways to keep the intellectual property with the Nation where possible, that's the absolute, you know, gold standard, I would say.",
00:52:29,Marco Seiferle-Valencia,"That's awesome. And, um, it makes me think about, uh, we were lucky to have a little outreach effort from Nez Perce National Historic Park, to digitize some of, uh, their collection, a few items that they have that they were hoping to make surrogates that then could travel, instead of the original items. But one of the things that's really interesting to me about that relationship is that it actually predates this project because the person who came and asked for our assistance with that, had come and accessed our makerspace at the library previously and asked about, um, some different projects. And so I also encourage folks, um, who are working in institutions who might be watching, to think about this as something that happens at multiple levels throughout your organization. I think sometimes we want to think like, oh, well, we, we should only have certain important people speaking to the, the Native Nations and representing the library in a particular way or the archive in a particular way.",
00:53:24,Marco Seiferle-Valencia,"And in fact, um, all throughout your organization, you should have a team that understands what your particular institution's, uh, philosophy of service is to Native Nations. And that's a way that you can start building that relationship even before building the relationship, as you're saying. So when Kristine approached us about this project, she's able to say, ""I've had really positive experiences at the makerspace, at the MILL, asking them about, um you know, 3D printing and 3D digitizing, and they've been so helpful. And now we have this like step two, which is this deepening of the relationship, and we actually want to lend you some things and actually ask you to, to scan them."" And, you know, we -- we were super stoked about this, and, you know, as you pointed out, we tried to be very, um, deliberate about the IP. I will acknowledge that we actually didn't get a clear answer back from our partner there about what they wanted to do with the IP, but we -- we asked and, um, are totally flexible about it.",
00:54:25,Marco Seiferle-Valencia,"I mean, I think that's one of the things that we made sure to do is to say, even if we have no ultimate IP rights over this, we would still undertake this as service because it's not about us trying to get something out of this, as in a particular digital asset or digital collection or something. It was about us wanting to provide that service. And it having already started in the library with that connection to the MILL is super, super cool, and I just think super relevant for folks to think about, um, the way that you respond to this kind of a goal of being more connected, respectful, and contemporary in how you engage with Native Nations and Indigenous appropriation, that's a whole institution thing, right? It's an iterative thing, it's something that everybody in the institution needs to sort of think about how that might manifest in their work, and then take that up, um, as -- as something that's important, because again, that's that pre-relationship building that makes it a -- a genuine relationship, as opposed to always a, a specific ask for some specific reason, yeah.",
00:55:28,Marco Seiferle-Valencia,"Well, uh, Lorisia, thank you so much. This was just excellent. I, we have real time recording of me having so many realizations, so very cool. Um is there anything else you want to add or share with us before we -- we officially wrap up your recording for today?",
00:55:45,Lorisia MacLeod,"Um no, I think the only thing I would leave with is kind of a realization that as we were going through these, uh, questions that hit me, about the kind of aspect of like re-peopling the stories involved in these memory institutions, uh, that we kind of kept circling around. Um so similar to you having a bit of a -- a realization, uh you know, I realize when we talk about, uh, libraries, archives, and museums, these memory institutions, um, even I myself sometimes kind of forget about the fact that those memories are people's stories, um, and an institution is made up of people, there's a lot of people pieces involved in this, um, and I think that's why so much of this ends up connecting to relationships and communication, and um, you know, the historical systems of oppression and racism that exist, um, are things that are upheld by people, plural. Um and so finding a better way forward and finding a better way to engage with collections is equally going to take people in the plural.",
00:57:02,Lorisia MacLeod,"Um and so yeah, you know, I similarly kind of had that realization. So just to share a realization in reciprocity of your realizations. [laughs] Um you know, I really enjoyed this concept of like re-peopling, and I think that connects well with this collection, where it did kind of end up circling around one individual, but in reality, it connects to many people. Um and some of those connections we don't even quite know because they're a little bit lost, um, and who knows, in the future, we might find them again, but, um, regardless, now we're all part of that, that story as well, so yeah.",
00:57:42,Marco Seiferle-Valencia,"Yeah, really interesting to think about re-peopling as sort of antidote to vocational awe, um, there's something there. So, uh, stay tuned for future collaborations. Um but with that, I -- I will say officially, thank you so much for all your time and energy in this wonderful interview. Um you've given me and Jylisa here so much to think and reflect on. So thank you for being so generous and, um, thoughtful in your sharing. It really, really shows and has really had a tremendous impact on me, and I'm sure for our audience too. So thank you so much, and with that, we'll go ahead and shut down the recording.",
00:58:16,Jylisa Kenyon,Thank you.,
00:58:16,Marco Seiferle-Valencia,Yep.,
